id,title,details,priority,status,created_by,created_at,updated_by,updated_at
01d5f828-960f-4aa5-b507-558ac50c3c55,H.D. Firecon Techno Pvt. Ltd. AMC invoice,"(FROM 01 MAY 2026 TO 30 OCTOBER 2026)
Second Installment",low,finished,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-23 04:57:37.282437+00,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-23 04:59:01.210671+00
02f9eada-057b-41d2-bbf2-661146ffb3f4,tally final 25-26 PATS,"saket+ asmita madam finalization karne
1-acess pt1856827 evde ka aahet, (Yogesh Sir)
2-indirect exp adjustmentla 41/11tar 25-26 la 42.03 disat aahet kami ka distat
3-current liabilities-25.26 la 37.33 - 38.78 kami ka zale/
4-mF investment fixed asset kase dakhwat yeiel
5-25-26 cash in hand 104492 disat aahe
6-25-26 advance tax paid 20k opening bal dakhwal aahe/

25-26
a-purchase-36.99-36.80 kami ka zala
b-gross 33.72 n 47.30 before adjustment aahe evada kami kasa kay zala
c-derreref d tax 182212 aahe to 0 kasa karta yeiel
d- stock -2l in servise settle karne
e-acess pt stock621109 kami karawa lagel
f- 24-1-26-45000 kotak, SIP entry",low,pending,d6e4aea8-08ea-45ac-8449-b1f4fc4ee27d,2026-07-08 10:56:30.001275+00,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-07-09 05:35:37.110188+00
1a776d71-912a-474c-8f9c-5e438b9f4e80,Revati Madam (ITR & TCS Certificate),Revati ITR 25-26 paying kindly consider TCS certificate received from kesari tours,low,pending,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-07-06 07:47:36.236685+00,,
1bee7788-70b4-4583-a2f2-4f514fb46bf9,Pinnac -Domain & Backup Software & Cloud Backup,"Proforma Inv Sign Copy -Done (Final Inv Copy Pending)
1. Pinnac Consulting -R-043 (AMT-106037) (Domain)
2. Pinnac Consulting -R-044 (AMT-105633) (Backup Software)
3. Pinnac Consulting -R-045 (AMT-103840) (Cloud Backup)
saket sir bole GST paid nahi karyacha mi tally madhe sagle inv 31.3.27 la transfer kele ahet",low,pending,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-07-01 06:43:54.714834+00,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-07-08 09:51:04.583063+00
3261c1de-f8c0-473b-866c-100105e78fe9,Pinnac Cons-(QHEPS)Print Pending,"Proforma Invoice-22- (dt 17.06.2026)
Inv checking karne pending and print pending
QHEPS - 50 user
",low,pending,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-22 09:53:15.58601+00,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-07-01 06:45:09.142688+00
39fe162e-b23d-4ee9-a0a8-4ed317fe6703,Printer points utkarsha (Saket Sir W.P MSG),"Patch pannel -2 cat 6a,Patch cord, Rack, Switch 2,Acess pnt 8, Firewall",low,pending,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-23 05:01:56.349896+00,,
3b867bfb-6ac5-42ac-a0c0-6446c2beeae3,payment to be done,"june 26

lic netra-12k
shilpa lic pre-41814
skoda-16k
skt/revti emi-52+58K


JULY
SKT LIC PRE-36515",low,pending,d6e4aea8-08ea-45ac-8449-b1f4fc4ee27d,2026-06-23 07:56:07.154168+00,d6e4aea8-08ea-45ac-8449-b1f4fc4ee27d,2026-06-23 08:19:15.194763+00
43800d55-3dfa-4488-b839-d83db023d6b3,SUSHRUT lic NOMINEE REMAINDER,NOMINEE UPDATE,low,pending,d6e4aea8-08ea-45ac-8449-b1f4fc4ee27d,2026-06-23 08:19:41.309894+00,,
4c7a06ac-c723-4881-8b70-8c7f2cc0a90b,Tally back  ITR-25-26 & Statement,"Mutual fund statement
Fd interest statement
All Bank & loan statement
Period - 01 April 2025 to 31 March 2026",low,pending,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-22 09:40:23.981438+00,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-22 11:18:59.172139+00
4dbeb2a1-5ef1-4c90-be2c-948c6502b4c6,"Dhiraj Langote  ","Purchase Invoice Pending -
June follow up Date -11,13,18,30",low,pending,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-30 07:13:09.737917+00,,
54c258a8-cc58-4550-97b4-581f7398eabf,Nilesh,Call Nilesh Sir ani material return che update ghya,low,deleted,a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d,2026-06-19 12:02:00.771598+00,a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d,2026-06-22 08:49:41.645273+00
69731e26-c370-4e55-9612-076699775f09,gayatri madam PC+ UPS,shrikant sir managing this work,low,pending,d6e4aea8-08ea-45ac-8449-b1f4fc4ee27d,2026-07-08 10:34:49.161392+00,,
758e0b37-d846-49d3-bcca-327acd63f491,Pinnac/DCad/Maithalee - PRO G CAD,"All pinnac invoices prog cad value 20k ne kele print pending
1. Pinnac Cons-R-046 (AMT-1199812)
2. DCAD -R-047 (AMT-23600)
3. Maithilee - R-048 (AMT-141600)
saket sir bole GST paid nahi karyacha mi tally madhe sagle inv 31.3.27 la transfer kele ahet
",low,pending,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-22 08:26:26.375147+00,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-07-04 07:20:40.223189+00
7b52db47-8a22-40dd-a187-6c15ea55ce4f,AVK GREEN -Sign Pending,"Inv No-26-27/PATS/S-015
Date :- 22.04.2026
",low,finished,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-22 10:05:09.82655+00,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-22 11:04:31.944137+00
7f000e65-9825-4f73-afc5-13d65e01517c,"MF investment ",MF चे investment fixed asset or Kontya asset la टाकू शकतो,low,pending,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-22 09:44:16.500182+00,a3b4b31b-599e-43bd-814f-fb1eff428a3e,2026-06-22 09:46:30.322319+00
